objname,thumb_size_arcsec,clims_set,skip,alt_run
AGEL001030-431515A,30,14,False,True
AGEL001310+004004A,20,2,False,True
AGEL001702-100911A,30,1,False,False
AGEL002527+101107A,40,1,False,False
AGEL010158-491738A,20,2,False,True
AGEL013204-160014A,20,2,False,False
AGEL013442+043350A,40,1,False,False
AGEL014253-183116A,20,2,False,True
AGEL014556+040229A,20,1,True,False
AGEL015009-030438A,20,1,True,False
AGEL020613-011417A,30,2,False,True
AGEL021225-085211A,30,2,False,True
AGEL021408-020629A,40,2,False,True
AGEL025220-473238A,30,2,False,True
AGEL030022-500129A,40,2,False,True
AGEL030416-492126A,55,1,False,False
AGEL032904-565658A,30,1,False,False
AGEL033203-132510A,20,2,False,True
AGEL035714-475647A,30,1,False,False
AGEL040823-532714A,20,2,False,True
AGEL041645-552500A,30,2,False,True
AGEL043806-322852A,20,2,False,True
AGEL053724-464702A,20,15,False,True
AGEL060357-355806A,40,1,False,False
AGEL080820+103142A,30,1,False,False
AGEL090115+095624A,30,2,False,True
AGEL091935+303156A,30,1,False,False
AGEL094412+322039A,20,2,False,True
AGEL104056-010359A,40,1,False,False
AGEL105100-055628A,20,2,False,True
AGEL113521+714307A,40,1,False,False
AGEL122719+172557A,40,1,False,False
AGEL123736+553343A,30,1,False,False
AGEL123809+150151A,40,1,False,False
AGEL125146+014256A,30,1,False,False
AGEL131231+725054A,30,1,False,False
AGEL131330-064211A,20,2,False,True
AGEL132304+034319A,40,4,False,False
AGEL132227-050135A,20,3,False,False
AGEL132557+263659A,20,32,False,False
AGEL143408-001311A,15,1,False,False
AGEL142719-064515A,20,6,False,False
AGEL142822+031800A,20,1,True,False
AGEL144133-005401A,40,1,False,False
AGEL144149+144121A,30,1,False,False
AGEL144743-065709A,20,7,False,False
AGEL150511+172042A,30,1,False,False
AGEL151009+203725A,30,1,False,False
AGEL153929+165016A,30,1,False,False
AGEL183520+460627A,30,1,False,False
AGEL193558+580909A,30,1,False,False
AGEL211627-594702A,20,8,False,False
AGEL212447-412816A,30,1,False,False
AGEL213758-012924A,20,9,False,False
AGEL215122+134718A,40,1,False,False
AGEL221912-434835A,30,10,False,True
AGEL222609+004142A,20,6,False,False
AGEL224405+275916A,30,11,False,False
AGEL225607+012534A,15,1,False,False
AGEL230305-511502A,20,12,False,False
AGEL232128-463049A,30,13,False,True
AGEL233552-515218A,30,2,False,True
AGEL233610-020735A,20,14,False,True
AGEL140839+253104A,20,5,False,False
